Source,Type,Target,Weight
accountant,Undirected,schindler,1
accountant,Undirected,stern,1
army officer,Undirected,czurda,1
army officer,Undirected,ingrid,1
army officer,Undirected,other ss,1
army officer,Undirected,schindler,1
boy,Undirected,goeth,1
boy,Undirected,schindler,1
brinnlitz guy 1,Undirected,emilie,1
brinnlitz guy 1,Undirected,parishioners,1
brinnlitz guy 1,Undirected,priest,1
brinnlitz guy 1,Undirected,schindler,1
brinnlitz guy 2,Undirected,girl,1
brinnlitz guy 2,Undirected,schindler,1
clerks,Undirected,foreman,1
clerks,Undirected,goeth,1
clerks,Undirected,goldberg,1
clerks,Undirected,handkerchief,1
clerks,Undirected,physican,1
clerks,Undirected,police,1
clerks,Undirected,schindler,2
clerks,Undirected,sscene 2,1
clerks,Undirected,stern,2
clerk,Undirected,goeth,1
clerk,Undirected,goldberg,1
clerk,Undirected,schindler,1
clerk,Undirected,sergeant,1
clerk,Undirected,stern,2
clerk,Undirected,teacher,2
commandant,Undirected,goeth,1
commandant,Undirected,mila,1
commandant,Undirected,pfefferberg,1
czurda,Undirected,goeth,1
czurda,Undirected,goeth's girl,1
czurda,Undirected,ingrid,1
czurda,Undirected,other ss,1
czurda,Undirected,schindler,2
doctor,Undirected,emilie,1
doctor,Undirected,pfefferberg,1
doctor,Undirected,schindler,1
doorman,Undirected,emilie,1
doorman,Undirected,klonowska,1
doorman,Undirected,schindler,1
einsatz nico,Undirected,max redlicht,1
emilie,Undirected,klonowska,1
emilie,Undirected,parishioners,1
emilie,Undirected,pfefferberg,1
emilie,Undirected,priest,1
emilie,Undirected,rasch,1
emilie,Undirected,schindler,7
emilie,Undirected,stern,2
engineer,Undirected,goeth,1
engineer,Undirected,hujar,1
engineer,Undirected,trainmen,1
factory girl,Undirected,goeth,1
factory girl,Undirected,jewish girl,1
factory girl,Undirected,schindler,1
factory girl,Undirected,stern,1
foreman,Undirected,schindler,1
foreman,Undirected,sscene 2,1
foreman,Undirected,stern,1
german girl,Undirected,janek,1
german girl,Undirected,liepold,1
german girl,Undirected,saboteur,1
german girl,Undirected,schindler,1
german girl,Undirected,stenograph,1
gestapo 1,Undirected,schindler,1
gestapo clerk,Undirected,schindler,1
gestapo,Undirected,schindler,2
girl,Undirected,schindler,1
goeth's girl,Undirected,schindler,1
goeth,Undirected,goeth's girl,1
goeth,Undirected,goldberg,3
goeth,Undirected,guard,1
goeth,Undirected,hujar,3
goeth,Undirected,ingrid,1
goeth,Undirected,jewish girl,1
goeth,Undirected,knude,1
goeth,Undirected,leo hohn,1
goeth,Undirected,leo john,1
goeth,Undirected,levartov,2
goeth,Undirected,madritsch,1
goeth,Undirected,majola,1
goeth,Undirected,mila,2
goeth,Undirected,pfefferberg,2
goeth,Undirected,police,1
goeth,Undirected,scherner,1
goeth,Undirected,schindler,13
goeth,Undirected,ss colonel,1
goeth,Undirected,ss officer,1
goeth,Undirected,stable boy,1
goeth,Undirected,stern,3
goeth,Undirected,treblinka guy,1
goeth,Undirected,worker,1
goldberg,Undirected,investor 1,1
goldberg,Undirected,investor 2,1
goldberg,Undirected,levartov,1
goldberg,Undirected,pfefferberg,3
goldberg,Undirected,police,1
