Source,Target,Type,Id,Label,Weight
Angelo,Bennie,Undirected,55,,1
Angelo,Burt,Undirected,56,,1
Angelo,Dean,Undirected,57,,1
Angelo,Hark,Undirected,58,,1
Angelo,Mitzi,Undirected,59,,1
Angelo,Natalie,Undirected,60,,1
Angelo,Reggie,Undirected,61,,1
Angelo,Roger,Undirected,62,,2
Angelo,Sal,Undirected,63,,2
Angelo,Sammy,Undirected,64,,2
Angelo,Scoutmaster Newhart,Undirected,65,,1
Angelo,Troop Dad,Undirected,66,,1
Angelo,Turkey,Undirected,67,,1
Bennie Loewy,Burt,Undirected,68,,2
Bennie Loewy,Hadassah,Undirected,69,,2
Bennie Loewy,Mitzi,Undirected,70,,2
Bennie Loewy,Natalie,Undirected,71,,1
Bennie Loewy,Reggie,Undirected,72,,1
Bennie Loewy,Sammy,Undirected,73,,2
Bennie,Burt,Undirected,74,,7
Bennie,Dean,Undirected,75,,1
Bennie,Hadassah,Undirected,76,,1
Bennie,Hark,Undirected,77,,1
Bennie,Lisa,Undirected,78,,5
Bennie,Mitzi,Undirected,79,,9
Bennie,Monica,Undirected,80,,1
Bennie,Natalie,Undirected,81,,6
Bennie,Reggie,Undirected,82,,6
Bennie,Roger,Undirected,83,,1
Bennie,Sal,Undirected,84,,1
Bennie,Sammy,Undirected,85,,7
Bennie,Scoutmaster Newhart,Undirected,86,,1
Bennie,The First Clerk,Undirected,87,,1
Bennie,The Second Clerk,Undirected,88,,1
Bennie,Troop Dad,Undirected,89,,1
Bennie,Turkey,Undirected,90,,1
Benni,Burt,Undirected,91,,1
Benni,Mitzi,Undirected,92,,2
Benni,Natalie,Undirected,93,,2
Benni,Reggie,Undirected,94,,2
Benni,Sammy,Undirected,95,,2
Bernie Fein,Nona,Undirected,96,,1
Bernie Fein,Sammy,Undirected,97,,2
Boris,Burt,Undirected,98,,1
Boris,Lisa,Undirected,99,,2
Boris,Mitzi,Undirected,100,,2
Boris,Natalie,Undirected,101,,1
Boris,Sammy,Undirected,102,,2
Burt,Dean,Undirected,103,,2
Burt,Hadassah,Undirected,104,,5
Burt,Hark,Undirected,105,,1
Burt,Lisa,Undirected,106,,10
Burt,Mitzi,Undirected,107,,30
Burt,Monica,Undirected,108,,2
Burt,Monica´s Dad,Undirected,109,,1
Burt,Natalie,Undirected,110,,17
