Source,Type,Target,Weight
Alsop,Undirected,Kay,1
Alsop,Undirected,Lally,1
Alsop,Undirected,Paul,1
Anchor,Undirected,Fritz,1
Anchor,Undirected,Ignatius,1
Anchor,Undirected,Kay,1
Anchor,Undirected,Liz,1
Anchor,Undirected,Marvin,1
Archie,Undirected,Bradlee,1
Archie,Undirected,Howard,1
Archie,Undirected,Kay,1
Archie,Undirected,Lally,1
Archie,Undirected,Paul,1
Archie,Undirected,Scotty,1
Archie,Undirected,Tony,1
Assaye,Undirected,Bradlee,1
Assaye,Undirected,Chalmers,1
Assaye,Undirected,Clark,1
Assaye,Undirected,Fritz,1
Assaye,Undirected,Gesellin,1
Assaye,Undirected,Howard,1
Assaye,Undirected,Lawyers,1
Assaye,Undirected,Meg,1
Bagdikian,Undirected,Boardmember,1
Bagdikian,Undirected,Bradlee,8
Bagdikian,Undirected,Cynthia,1
Bagdikian,Undirected,Editor 1,1
Bagdikian,Undirected,Ellsberg,1
Bagdikian,Undirected,Fritz,3
Bagdikian,Undirected,Gene,1
Bagdikian,Undirected,Geyelin,3
Bagdikian,Undirected,Graham,1
Bagdikian,Undirected,Griswold,1
Bagdikian,Undirected,Howard,4
Bagdikian,Undirected,Ignatius,2
Bagdikian,Undirected,Judge Black,1
Bagdikian,Undirected,Katharine,1
Bagdikian,Undirected,Kay,6
Bagdikian,Undirected,Lally,2
Bagdikian,Undirected,Liz,1
Bagdikian,Undirected,Marina,1
Bagdikian,Undirected,Marvin,1
Bagdikian,Undirected,McNamara,1
Bagdikian,Undirected,Med,1
Bagdikian,Undirected,Meg,4
Bagdikian,Undirected,The Men,1
Bagdikian,Undirected,Tony,1
Balles,Undirected,Bradlee,1
Balles,Undirected,Fritz,1
Balles,Undirected,Howard,1
Balles,Undirected,Kay,1
Balles,Undirected,Meg,1
Balles,Undirected,Young Woman,1
Boardmember,Undirected,Bradlee,1
Boardmember,Undirected,Cynthia,1
Boardmember,Undirected,Editor 1,1
Boardmember,Undirected,Fritz,1
Boardmember,Undirected,Gene,1
Boardmember,Undirected,Geyelin,1
Boardmember,Undirected,Howard,1
Boardmember,Undirected,Ignatius,1
Boardmember,Undirected,Kay,1
Boardmember,Undirected,Liz,1
Boardmember,Undirected,Marvin,1
Boardmember,Undirected,Meg,1
Boardmember,Undirected,The Men,1
Bradlee,Undirected,Chalmers,1
Bradlee,Undirected,Charlotte,1
Bradlee,Undirected,Clark,2
Bradlee,Undirected,Cynthia,2
Bradlee,Undirected,Editor 1,1
Bradlee,Undirected,Ellsberg,1
Bradlee,Undirected,Fritz,6
Bradlee,Undirected,Gene,2
Bradlee,Undirected,Gesellin,1
Bradlee,Undirected,Geyelin,3
Bradlee,Undirected,Graham,1
Bradlee,Undirected,Griswold,1
Bradlee,Undirected,Howard,10
Bradlee,Undirected,Ignatius,2
Bradlee,Undirected,Judge Black,1
Bradlee,Undirected,Katharine,2
Bradlee,Undirected,Kay,12
Bradlee,Undirected,Lally,4
Bradlee,Undirected,Lawyers,1
Bradlee,Undirected,Liz,1
Bradlee,Undirected,Marina,1
Bradlee,Undirected,Marvin,1
Bradlee,Undirected,McNamara,1
Bradlee,Undirected,Med,1
Bradlee,Undirected,Meg,7
Bradlee,Undirected,Michael,1
Bradlee,Undirected,Paul,1
Bradlee,Undirected,Phil,1
Bradlee,Undirected,Scotty,1
Bradlee,Undirected,The Men,1
Bradlee,Undirected,Tony,4
Bradlee,Undirected,Waiter,1
Bradlee,Undirected,Young Woman,1
Chalmers,Undirected,Clark,1
Chalmers,Undirected,Fritz,1
